"occurrence_no"	"record_type"	"reid_no"	"flags"	"collection_no"	"identified_name"	"identified_rank"	"identified_no"	"difference"	"accepted_name"	"accepted_attr"	"accepted_rank"	"accepted_no"	"early_interval"	"late_interval"	"max_ma"	"min_ma"	"ref_author"	"ref_pubyr"	"reference_no"	"phylum"	"class"	"order"	"family"	"genus"	"plant_organ"	"plant_organ2"	"abund_value"	"abund_unit"	"lng"	"lat"	"occurrence_comments"	"collection_name"	"collection_subset"	"collection_aka"	"cc"	"state"	"county"	"latlng_basis"	"latlng_precision"	"geogscale"	"geogcomments"	"paleomodel"	"paleolng"	"paleolat"	"geoplate"	"cc.1"	"protected"	"formation"	"stratgroup"	"member"	"stratscale"	"zone"	"localsection"	"localbed"	"localorder"	"regionalsection"	"regionalbed"	"regionalorder"	"stratcomments"	"lithdescript"	"lithology1"	"lithadj1"	"lithification1"	"minor_lithology1"	"fossilsfrom1"	"lithology2"	"lithadj2"	"lithification2"	"minor_lithology2"	"fossilsfrom2"	"environment"	"tectonic_setting"	"geology_comments"	"assembl_comps"	"articulated_parts"	"associated_parts"	"common_body_parts"	"rare_body_parts"	"feed_pred_traces"	"artifacts"	"component_comments"	"pres_mode"	"preservation_quality"	"spatial_resolution"	"temporal_resolution"	"lagerstatten"	"concentration"	"orientation"	"abund_in_sediment"	"sorting"	"fragmentation"	"bioerosion"	"encrustation"	"preservation_comments"	"collection_type"	"collection_methods"	"museum"	"collection_coverage"	"collection_size"	"rock_censused"	"collectors"	"collection_dates"	"collection_comments"	"taxonomy_comments"	"taxon_environment"	"environment_basis"	"motility"	"life_habit"	"vision"	"diet"	"reproduction"	"ontogeny"	"ecospace_comments"	"composition"	"architecture"	"thickness"	"reinforcement"
293807	"occ"	NA	NA	28009	"Undorosaurus gorodischensis"	"species"	173204	""	"Undorosaurus gorodischensis"	NA	"species"	173204	"Late Jurassic"	""	163.5	145	"Efimov"	1999	7674	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Undorosaurus"	NA	NA	1	"specimens"	48.366669	54.616669	"UPM EP-II-23 (744)"	"Volga region near Ul'yanovsk C. subdites zone"	NA	""	"RU"	"Ul'yanovsk"	""	"based on nearby landmark"	"minutes"	"local area"	"Volga region, near Undory"	"gp_mid"	49.63	45.12	"302"	"RU"	""	""	""	""	""	"Craspedites subdites"	""	""	""	NA	NA	NA	""	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	"disarticulated skeleton"	"taxonomic"	"field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
293808	"occ"	NA	NA	28010	"n. gen. Undorosaurus n. sp. gorodischensis"	"species"	173204	""	"Undorosaurus gorodischensis"	NA	"species"	173204	"Tithonian"	""	152.1	145	"Efimov"	1999	7674	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Undorosaurus"	NA	NA	3	"specimens"	48.739445	54.324444	"UPM EP-II-20 (527), UPM EP-II-21 (1073), UPM EP-II-22 (1075)"	"Volga region at Gorodische near Ul'yanovsk E. nikitini zone"	NA	""	"RU"	"Ul'yanovsk"	""	"based on nearby landmark"	"seconds"	"local area"	"Volga region, near Undory"	"gp_mid"	49.21	44.61	"302"	"RU"	""	""	""	""	""	"Epivirgatites nikitini"	""	""	""	NA	NA	NA	"'Middle Voligan' (=Tithonian)"	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	"fragmentary skeletons: skull bones, humeral and pelvic girdles, vertebral centra and fore and hind limbs"	"taxonomic"	"field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
293809	"occ"	NA	NA	28011	"Undorosaurus n. sp. nessovi"	"species"	432079	""	"Undorosaurus nessovi"	NA	"species"	386525	"Late Jurassic"	""	163.5	145	"Efimov"	1999	7674	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Undorosaurus"	NA	NA	2	"specimens"	48.366669	54.616669	"UPM EP-II-24 (785), UPM EP-II-25 (900)"	"Volga region near Ul'yanovsk V. virgatus zone"	NA	""	"RU"	"Ul'yanovsk"	""	"based on nearby landmark"	"minutes"	"local area"	"Volga region, near Undory"	"gp_mid"	49.63	45.12	"302"	"RU"	""	""	""	""	""	"Virgatites virgatus"	""	""	""	NA	NA	NA	""	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	""	"taxonomic"	"field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
293810	"occ"	NA	NA	28012	"Undorosaurus n. sp. khorlovensis"	"species"	386528	""	"Undorosaurus khorlovensis"	NA	"species"	386528	"Late Jurassic"	""	163.5	145	"Efimov"	1999	7674	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Undorosaurus"	NA	NA	2	"specimens"	37	55	"UPM EP-II-27 (870), UPM EP-II-28 (1090)"	"Moscow Region Ichthyosaur V. virgatus zone"	NA	""	"RU"	"Moskva"	""	"based on nearby landmark"	"degrees"	"local area"	"Moscow Region"	"gp_mid"	41.1	42.81	"302"	"RU"	""	""	""	""	""	"Virgatites virgatus"	""	""	""	NA	NA	NA	""	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	""	"taxonomic"	"field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
293811	"occ"	NA	NA	28013	"Undorosaurus khorlovensis"	"species"	386528	""	"Undorosaurus khorlovensis"	NA	"species"	386528	"Late Jurassic"	""	163.5	145	"Efimov"	1999	7674	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Undorosaurus"	NA	NA	1	"specimens"	37	55	"UPM EP-II-30 (1089)"	"Moscow Region Ichthyosaur K. fulgens zone"	NA	""	"RU"	"Moskva"	""	"based on nearby landmark"	"degrees"	"local area"	"Moscow Region"	"gp_mid"	41.1	42.81	"302"	"RU"	""	""	""	""	""	"Kachpurites fulgens"	""	""	""	NA	NA	NA	""	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	"dentary with teeth"	"taxonomic"	"field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
343565	"occ"	23642	NA	32321	"Baptanodon n. sp. robustus"	"species"	174057	"recombined as"	"Ophthalmosaurus robustus"	NA	"species"	174057	"Bathonian"	"Oxfordian"	168.3	157.3	"Gilmore"	1905	8710	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Ophthalmosaurus"	NA	NA	1	"individuals"	-106.780556	43.649166	"CM 919"	"Red Fork, Powder River"	NA	"Baptanodon robustus type site"	"US"	"Wyoming"	"Johnson"	"based on nearby landmark"	"seconds"	"small collection"	"Red Fork of Powder River, Big Horn County (now Johnson County), Wyoming."	"gp_mid"	-35.56	30.95	"101"	"US"	""	"Sundance"	""	""	"bed"	""	""	""	""	NA	NA	NA	"described here only as \"marine beds of the Jurassic\""	""	"not reported"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	"some"	"some"	""	""	NA	NA	""	"body"	"good"	""	"snapshot"	""	""	""	""	NA	"frequent"	""	"none"	""	"taxonomic"	"selective quarrying,mechanical,field collection"	"CM"	""	""	NA	"W. H. Utterback"	"1902"	"Collected by W. H. Utterback in 1902 for Carnegie Museum."	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
361674	"occ"	NA	NA	34267	"n. gen. Omphalosaurus n. sp. nevadanus"	"species"	54114	""	"Omphalosaurus nevadanus"	NA	"species"	54114	"Middle Triassic"	""	247.2	237	"Merriam"	1906	9007	"Chordata"	"Reptilia"	"Ichthyosauria"	"Omphalosauridae"	"Omphalosaurus"	NA	NA	2	"individuals"	-118.300003	40.133331	"UCMP 1019"	"American Canyon (UCMP/Stanford)"	NA	"Omphalosaurus nevadanus type site"	"US"	"Nevada"	"Pershing"	"based on nearby landmark"	"minutes"	"local area"	"West Humboldt Range, Nevada. Coordinates from UCMP website. American Canyon"	"gp_mid"	-39.08	24.35	"101"	"US"	"FED"	"Prida"	""	""	"bed"	""	""	""	""	NA	NA	NA	""	""	"\"limestone\""	""	""	""	"Y"	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	"good"	""	""	""	""	""	""	NA	"occasional"	""	""	""	"taxonomic"	"selective quarrying,field collection"	"UCMP"	""	""	NA	"V. C. Osmont"	"1902"	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
363117	"occ"	NA	NA	34401	"n. gen. Grippia n. sp. longirostris"	"species"	170764	""	"Grippia longirostris"	NA	"species"	170764	"Olenekian"	""	251.2	247.2	"Wiman"	1929	9052	"Chordata"	"Reptilia"	"Ichthyosauria"	"Grippiidae"	"Grippia"	NA	NA	1	"specimens"	20	78	""	"Agardh Bay"	NA	""	"NO"	"Spitzberger"	""	"based on nearby landmark"	"minutes"	""	"Found east of Ivory Glacier"	"gp_mid"	NA	NA	"coordinates not computable using this model"	"NO"	""	"Vikinghøgda"	""	"Vendomdalen"	"bed"	""	"Spitsbergen"	"Grippia niveau bonebed"	""	NA	NA	NA	"Grippia niveau bonebed\r\nalso Spathian"	""	"ironstone"	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	""	"taxonomic"	""	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
388713	"occ"	NA	NA	37180	"Chensaurus chaoxianensis"	"species"	150076	""	"Chensaurus chaoxianensis"	NA	"species"	150075	"Spathian"	""	251.3	247.2	"Motani and You"	1998	9957	"Chordata"	"Reptilia"	"Ichthyosauria"	"Grippiidae"	"Chaohusaurus"	NA	NA	1	"specimens"	117	33	"Type specimen is P45-H85-25"	"Chensaurus chaoxianensis type locality"	NA	"P45-H85-25, Majia-Shan"	"CN"	"Anhui"	"Chao"	"based on political unit"	"degrees"	"local area"	"Type locality is located at Majia-Shan, Chao County, Anhui Province, P.R. China. More detailed stratigraphic information can be found in Chen (1985), which is in Chinese."	"gp_mid"	116.49	7.27	"604"	"CN"	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	"good"	""	""	""	""	""	""	NA	""	""	""	""	"taxonomic"	"survey of museum collection"	""	""	""	NA	""	""	"Anhui Geological Museum (AGM), Hefei, China\r\nIn ref. 9957, Motani describes two additional specimens of C. chaoxianensis, saying they are from the same biostratigraphic zone of the type locality."	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
388714	"occ"	NA	NA	37181	"Chensaurus chaoxianensis"	"species"	150076	""	"Chensaurus chaoxianensis"	NA	"species"	150075	"Spathian"	""	251.3	247.2	"Motani et al."	1996	9958	"Chordata"	"Reptilia"	"Ichthyosauria"	"Grippiidae"	"Chaohusaurus"	NA	NA	1	"specimens"	117	33	"\"tentatively identified as\""	"50 km southwest of C. chaoxianensis type locality"	NA	"Chensaurus, WCRAI 313"	"CN"	"Anhui"	""	"based on political unit"	"degrees"	"small collection"	"Anhui Province, China, about 50 km southwest of the type locality of Chensaurus (Chen 1985)."	"gp_mid"	116.49	7.27	"604"	"CN"	""	""	""	""	""	""	""	""	""	NA	NA	NA	"Spathian, Lower Triassic"	""	""	""	""	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	"good"	""	""	""	""	""	""	NA	"none"	""	""	"The body outline is partially preserved in the dorsal region. Gastralia are preserved in situ."	"taxonomic"	"field collection"	""	""	""	NA	""	""	"Wuwei Cultural Relic Administrative Institute (specimen or locality number = WCRAI 313)."	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
391980	"occ"	NA	NA	37606	"Mixosaurus n. sp. maotaiensis"	"species"	100419	"recombined as"	"Barracudasaurus maotaiensis"	NA	"species"	100419	"Middle Triassic"	""	247.2	237	"Young"	1965	24294	"Chordata"	"Reptilia"	"Ichthyosauria"	"Mixosauridae"	"Barracudasaurus"	NA	NA	1	"individuals"	106.366997	27.857	"two coracoids, isolated vertebrae, ribs, a damaged humerus and a scapula"	"Jenhui"	NA	""	"CN"	"Guizhou"	""	"based on nearby landmark"	"3"	"outcrop"	"\"Yueliangtien, Hsinchiao, north of Maotai, Jenhui Hsien, N. Kweichou almost three hundred kilometers due north of Shingyi\"; Another Romanization of the locality name: Youeliangdian Xinjiao Maodai Renhui Guizhou"	"gp_mid"	109.25	-6.45	"611"	"CN"	""	""	""	""	"bed"	""	""	""	""	NA	NA	NA	"lower middle Triassic"	""	"\"limestone\""	"gray"	"lithified"	""	"Y"	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	"some"	""	"partial skeletons"	NA	NA	""	"body"	"medium"	"parautochthonous"	""	""	""	"random"	"rare"	NA	"occasional"	""	""	""	"taxonomic"	"field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
467070	"occ"	NA	NA	34267	"Cymbospondylus petrinus"	"species"	170850	""	"Cymbospondylus petrinus"	NA	"species"	170850	"Middle Triassic"	""	247.2	237	"Merriam"	1906	9007	"Chordata"	"Reptilia"	"Ichthyosauria"	"Cymbospondylidae"	"Cymbospondylus"	NA	NA	6	"specimens"	-118.300003	40.133331	""	"American Canyon (UCMP/Stanford)"	NA	"Omphalosaurus nevadanus type site"	"US"	"Nevada"	"Pershing"	"based on nearby landmark"	"minutes"	"local area"	"West Humboldt Range, Nevada. Coordinates from UCMP website. American Canyon"	"gp_mid"	-39.08	24.35	"101"	"US"	"FED"	"Prida"	""	""	"bed"	""	""	""	""	NA	NA	NA	""	""	"\"limestone\""	""	""	""	"Y"	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	"good"	""	""	""	""	""	""	NA	"occasional"	""	""	""	"taxonomic"	"selective quarrying,field collection"	"UCMP"	""	""	NA	"V. C. Osmont"	"1902"	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
467071	"occ"	NA	NA	34267	"Cymbospondylus natans"	"species"	285199	""	"Cymbospondylus natans"	NA	"species"	285199	"Middle Triassic"	""	247.2	237	"Merriam"	1906	9007	"Chordata"	"Reptilia"	"Ichthyosauria"	"Cymbospondylidae"	"Cymbospondylus"	NA	NA	3	"specimens"	-118.300003	40.133331	""	"American Canyon (UCMP/Stanford)"	NA	"Omphalosaurus nevadanus type site"	"US"	"Nevada"	"Pershing"	"based on nearby landmark"	"minutes"	"local area"	"West Humboldt Range, Nevada. Coordinates from UCMP website. American Canyon"	"gp_mid"	-39.08	24.35	"101"	"US"	"FED"	"Prida"	""	""	"bed"	""	""	""	""	NA	NA	NA	""	""	"\"limestone\""	""	""	""	"Y"	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	"good"	""	""	""	""	""	""	NA	"occasional"	""	""	""	"taxonomic"	"selective quarrying,field collection"	"UCMP"	""	""	NA	"V. C. Osmont"	"1902"	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
467073	"occ"	NA	NA	34267	"Phalarodon fraasi"	"species"	258578	""	"Phalarodon fraasi"	NA	"species"	258578	"Middle Triassic"	""	247.2	237	"Merriam"	1906	9007	"Chordata"	"Reptilia"	"Ichthyosauria"	"Mixosauridae"	"Phalarodon"	NA	NA	1	"specimens"	-118.300003	40.133331	""	"American Canyon (UCMP/Stanford)"	NA	"Omphalosaurus nevadanus type site"	"US"	"Nevada"	"Pershing"	"based on nearby landmark"	"minutes"	"local area"	"West Humboldt Range, Nevada. Coordinates from UCMP website. American Canyon"	"gp_mid"	-39.08	24.35	"101"	"US"	"FED"	"Prida"	""	""	"bed"	""	""	""	""	NA	NA	NA	""	""	"\"limestone\""	""	""	""	"Y"	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	"good"	""	""	""	""	""	""	NA	"occasional"	""	""	""	"taxonomic"	"selective quarrying,field collection"	"UCMP"	""	""	NA	"V. C. Osmont"	"1902"	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
544214	"occ"	NA	NA	56885	"Platypterygius australis"	"species"	186984	""	"Platypterygius australis"	NA	"species"	108967	"Late Albian"	""	105.3	99.6	"Henderson"	2004	15336	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Platypterygius"	NA	NA	NA	""	141	-20	""	"St. Elmo structure - N of the Flinders Highway"	NA	""	"AU"	"Queensland"	""	"based on nearby landmark"	"degrees"	"outcrop"	""	"gp_mid"	132.19	-60.68	"801"	"AU"	""	"Toolebuc"	""	""	"group of beds"	""	""	""	""	NA	NA	NA	"Late Albian age is based on ammonites and nannofossils. Not older than the Prediscosphaera columnata Zone and not younger than the Mortoniceras inflatum Zone"	"finely interlayered organic-rich shales and shell beds are typical of the Toolebuc Formation, resulting in a distinctively black-and-white, thinly-bedded to laminated rock."	"claystone"	"shelly/skeletal"	"poorly lithified"	""	""	""	""	""	""	""	"offshore"	""	"oxygen-deficient environment"	"macrofossils"	""	""	""	""	NA	NA	""	"body,trace"	""	""	""	""	""	""	""	NA	""	""	""	""	"paleoecologic"	"bulk,core,field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
544239	"occ"	NA	NA	56889	"Platypterygius australis"	"species"	186984	""	"Platypterygius australis"	NA	"species"	108967	"Late Albian"	""	105.3	99.6	"Henderson"	2004	15336	"Chordata"	"Reptilia"	"Ichthyosauria"	"Ophthalmosauridae"	"Platypterygius"	NA	NA	NA	""	141	-20	""	"Outcrop near Telemon station homestead, N of the Flinders Highway"	NA	""	"AU"	"Queensland"	""	"based on nearby landmark"	"degrees"	"outcrop"	""	"gp_mid"	132.19	-60.68	"801"	"AU"	""	"Toolebuc"	""	""	"group of beds"	""	""	""	""	NA	NA	NA	"Late Albian age is based on ammonites and nannofossils. Not older than the Prediscosphaera columnata Zone and not younger than the Mortoniceras inflatum Zone"	"finely interlayered organic-rich shales and shell beds are typical of the Toolebuc Formation, resulting in a distinctively black-and-white, thinly-bedded to laminated rock."	"claystone"	"shelly/skeletal"	"poorly lithified"	""	""	""	""	""	""	""	"offshore"	""	"oxygen-deficient environment"	"macrofossils"	""	""	""	""	NA	NA	""	"body,trace"	""	""	""	""	""	""	""	NA	""	""	""	""	"paleoecologic"	"bulk,core,field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
788481	"occ"	NA	NA	85166	"Qianichthyosaurus zhoui"	"species"	170706	""	"Qianichthyosaurus zhoui"	NA	"species"	170706	"Tuvalian"	""	232	221.5	"Wang et al."	2008	28658	"Chordata"	"Reptilia"	"Ichthyosauria"	"Toretocnemidae"	"Qianichthyosaurus"	NA	NA	NA	""	105.416664	25.9	""	"Guanling, Lower Xiaowa Formation fossil lagerstätte"	NA	""	"CN"	"Guizhou"	""	"based on nearby landmark"	"minutes"	"outcrop"	"Guanling County, between Xinpu and Yongning"	"gp_mid"	113.18	11.56	"611"	"CN"	""	"Xiaowa"	""	"Lower"	"group of beds"	""	""	""	""	NA	NA	NA	"12 m thick, previously known as Wayao Member of Falang Formation or as Wayao Formation\r\nJA: originally entered as Carnian; the Metapolygnathus polygnatiformis and M. nodosus zones are both Tuvalian according to Lucas et al. 2012"	"lower unit (5 m thick) of medium- to thick-bedded, grey bioclastic micrites with yellow-green shale interbeds; upper unit (7 m thick) of greyish to black, thin-  to medium-bedded laminated mudstone with argillaceous limestone interbeds and marlstones"	"\"shale\""	""	"lithified"	""	""	"marl"	""	"lithified"	""	""	"deep-water indet."	""	"deep and quiet water, the lower unit with generally oxygenated bottom water; the upper unit shaly interval with anoxic conditions and the greatest water depth"	"macrofossils"	"many"	"many"	""	""	NA	NA	""	"body"	"excellent"	"parautochthonous"	""	""	""	""	""	NA	""	""	""	""	"general faunal/floral"	"selective quarrying,mechanical,field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
788482	"occ"	NA	NA	85166	"Ghuizhouichthyosaurus tangae"	"species"	376328	"misspelling of, obsolete variant of"	"Guizhouichthyosaurus tangae"	NA	"species"	170542	"Tuvalian"	""	232	221.5	"Wang et al."	2008	28658	"Chordata"	"Reptilia"	"Ichthyosauria"	"Shastasauridae"	"Guizhouichthyosaurus"	NA	NA	NA	""	105.416664	25.9	""	"Guanling, Lower Xiaowa Formation fossil lagerstätte"	NA	""	"CN"	"Guizhou"	""	"based on nearby landmark"	"minutes"	"outcrop"	"Guanling County, between Xinpu and Yongning"	"gp_mid"	113.18	11.56	"611"	"CN"	""	"Xiaowa"	""	"Lower"	"group of beds"	""	""	""	""	NA	NA	NA	"12 m thick, previously known as Wayao Member of Falang Formation or as Wayao Formation\r\nJA: originally entered as Carnian; the Metapolygnathus polygnatiformis and M. nodosus zones are both Tuvalian according to Lucas et al. 2012"	"lower unit (5 m thick) of medium- to thick-bedded, grey bioclastic micrites with yellow-green shale interbeds; upper unit (7 m thick) of greyish to black, thin-  to medium-bedded laminated mudstone with argillaceous limestone interbeds and marlstones"	"\"shale\""	""	"lithified"	""	""	"marl"	""	"lithified"	""	""	"deep-water indet."	""	"deep and quiet water, the lower unit with generally oxygenated bottom water; the upper unit shaly interval with anoxic conditions and the greatest water depth"	"macrofossils"	"many"	"many"	""	""	NA	NA	""	"body"	"excellent"	"parautochthonous"	""	""	""	""	""	NA	""	""	""	""	"general faunal/floral"	"selective quarrying,mechanical,field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
788483	"occ"	NA	NA	85166	"Guanlingichthyosaurus liangae"	"species"	376329	"misspelling of, obsolete variant of"	"Guanlingsaurus liangae"	NA	"species"	260671	"Tuvalian"	""	232	221.5	"Wang et al."	2008	28658	"Chordata"	"Reptilia"	"Ichthyosauria"	"Shastasauridae"	"Guanlingsaurus"	NA	NA	NA	""	105.416664	25.9	""	"Guanling, Lower Xiaowa Formation fossil lagerstätte"	NA	""	"CN"	"Guizhou"	""	"based on nearby landmark"	"minutes"	"outcrop"	"Guanling County, between Xinpu and Yongning"	"gp_mid"	113.18	11.56	"611"	"CN"	""	"Xiaowa"	""	"Lower"	"group of beds"	""	""	""	""	NA	NA	NA	"12 m thick, previously known as Wayao Member of Falang Formation or as Wayao Formation\r\nJA: originally entered as Carnian; the Metapolygnathus polygnatiformis and M. nodosus zones are both Tuvalian according to Lucas et al. 2012"	"lower unit (5 m thick) of medium- to thick-bedded, grey bioclastic micrites with yellow-green shale interbeds; upper unit (7 m thick) of greyish to black, thin-  to medium-bedded laminated mudstone with argillaceous limestone interbeds and marlstones"	"\"shale\""	""	"lithified"	""	""	"marl"	""	"lithified"	""	""	"deep-water indet."	""	"deep and quiet water, the lower unit with generally oxygenated bottom water; the upper unit shaly interval with anoxic conditions and the greatest water depth"	"macrofossils"	"many"	"many"	""	""	NA	NA	""	"body"	"excellent"	"parautochthonous"	""	""	""	""	""	NA	""	""	""	""	"general faunal/floral"	"selective quarrying,mechanical,field collection"	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
800599	"occ"	NA	NA	87146	"n. gen. Utatsusaurus n. sp. hataii"	"species"	142759	""	"Utatsusaurus hataii"	NA	"species"	142759	"Olenekian"	""	251.2	247.2	"Shikama and Kamei"	1978	29337	"Chordata"	"Reptilia"	"Ichthyosauria"	"Utatsusauridae"	"Utatsusaurus"	NA	NA	NA	""	141.556946	38.713612	"ICPS 95941"	"Tatezaki"	NA	""	"JP"	"Miyagi"	"Motoyoshui-gun"	"estimated from map"	"seconds"	""	"Tatezaki, Utatsu-cho, Motoyoshi-gun, Miyagi Prefecture"	"gp_mid"	138.78	4.8	"610"	"JP"	""	"Osawa"	"Inai"	""	"formation"	""	""	""	""	NA	NA	NA	"early Triassic, Scythian"	""	"sandstone"	""	""	"calcareous"	"Y"	"\"shale\""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	""	"general faunal/floral"	""	""	""	""	NA	""	""	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
820942	"occ"	NA	NA	90337	"Shastasaurus n. sp. neoscapularis"	"species"	149933	"recombined as"	"Callawayia neoscapularis"	NA	"species"	149933	"Norian"	""	228	208.5	"Mcgowan"	1994	30337	"Chordata"	"Reptilia"	"Ichthyosauria"	"Californosauridae"	"Callawayia"	NA	NA	NA	""	-123	56.083332	""	"Flipper Quarry"	NA	"Peace Reach; East of Indian Head; GSC locality C-176546"	"CA"	"British Columbia"	""	"based on nearby landmark"	"minutes"	"small collection"	"\"from the south shore of Peace Reach, Williston Lake, east of Indian Head... map reference UTM 10VET 203159\" (coordinate based on Williston Lake)"	"gp_mid"	-41.02	33.2	"101"	"CA"	""	""	""	""	"group of beds"	""	""	""	""	NA	NA	NA	"horizon is \"at the top of the early Norian\" based on conodont zonation"	""	"not reported"	""	"lithified"	""	""	""	""	""	""	""	"marine indet."	""	""	"macrofossils"	""	""	""	""	NA	NA	""	"body"	""	""	""	""	""	""	""	NA	""	""	""	""	"taxonomic"	"field collection"	"GSC,ROM"	""	""	NA	"K. Seymour, B. Iwama, A. Leitch, S. Samson, C. Mcgowan"	"1988"	""	""	"marine"	NA	"actively mobile"	""	NA	"carnivore"	"viviparous"	NA	NA	"hydroxyapatite"	NA	NA	NA
